quantity,description,unit_price,total_price
1,Coconut Parachute Water 500ml,60.0,60.0
1,Crystal Lighter Gas,95.0,95.0
3,Viniger 2006ms,116.67,350.0
1,Dyna Glycerine Soap,89.0,89.0
1,Hilton Mug 1lt,342.86,342.86
1,Oroma Air Purifier Large,270.15,270.15
1,Halo Shampoo Concentrate 1000ml,95.33,95.33
1,Boost Refill 500 6ms,87.06,87.06
1,Close Up Toothpaste,40.61,40.61
1,Taj Mahal Tea 250g,86.14,86.14
1,Brooke Bond Red Label Tea,86.13,86.13
1,Sensodyne Toothpaste,40.65,40.65
1,Dabur Red Paste,40.65,40.65
1,Oral B Contour Toothbrush,90.19,90.19
1,Lux International Toothpaste 125ml 6m,90.19,90.19
1,Dettol Cool Soap 120,89.0,89.0
1,Tide Laundry Bar,87.78,87.78
1,Santoor Orange Soap,90.71,90.71
1,Dettol Skin Care Soap 120,90.88,90.88
